Site Num,WA,Year,Year2,Neoagarum_fimbriatum,Alaria_marginata,Costaria_costata,Egregia_menzieii,Ecklonia_arborea,Saccharina_sessilis,Saccharina_nigripes,Saccharina_latissima,Laminaria_setchellii,Lessoniopsis_littoralis,Macrocystis_pyrifera,Pleurophycus_gardneri,Postelsia_palmaeformes,Pterygophora_californica,Nereocystis_luetkeana,Sargassum_muticum,Phyllospadix_spp,Fucus_spp
2,2,1993,1993,0,2,2,3,3,3,1,0,3,1,3,2,0,1,2,0,2,2
2,2,1995,1995,0,2,2,3,0,2,2,0,3,0,2,1,0,3,3,0,0,2
2,2,2017,2017,0,1,0,3,1,1,0,0,2,0,1,0,0,1,1,0,0,3
2,2,2018,2018,0,1,2,3,2,1,0,0,3,0,3,0,0,0,0,0,0,3
3,3,1993,1993,0,3,3,2,0,2,2,0,3,1,2,0,0,3,3,0,3,2
3,3,1995,1995,0,3,1,2,0,2,0,0,3,0,3,0,0,0,2,0,3,3
3,3,2017,2017,0,2,1,2,0,3,1,0,1,0,0,0,0,1,1,0,3,2
3,3,2018,2018,0,2,2,3,0,2,0,0,2,0,0,0,0,0,2,0,3,3
4,3,1993,1993,0,3,3,2,0,2,2,0,3,0,2,2,0,3,3,0,3,3
4,3,1995,1995,0,2,2,2,1,2,0,0,2,0,3,0,0,3,3,0,3,3
4,3,2017,2017,0,3,1,2,0,3,1,0,2,0,1,1,0,2,1,0,3,2
4,3,2018,2018,0,2,2,3,0,3,1,0,2,0,0,0,0,0,2,0,3,3
5,2,1993,1993,0,1,2,3,0,0,1,0,0,0,3,0,0,0,0,3,0,3
5,2,1995,1995,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,3
5,2,2017,2017,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,3
5,2,2018,2018,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,3
6,1,1993,1993,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,1,3
6,1,1995,1995,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,3
6,1,2017,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3
6,1,2018,2018,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3
7,2,1993,1993,0,2,2,3,1,0,0,0,0,1,3,0,0,1,2,1,2,3
7,2,1995,1995,0,2,1,2,0,0,0,0,2,0,3,0,0,0,0,0,3,3
7,2,2017,2017,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3
7,2,2018,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,2,1993,1993,0,3,2,3,0,0,0,0,2,1,3,0,0,0,0,1,0,3
8,2,1995,1995,0,2,0,3,0,0,0,0,3,0,0,0,0,0,1,0,2,2
8,2,2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,2,2018,2018,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3
9,3,1993,1993,0,1,1,3,0,3,0,0,3,3,1,0,0,0,2,0,1,1
9,3,1995,1995,0,1,0,3,0,3,0,0,3,3,0,0,0,0,2,0,0,0
9,3,2017,2017,0,0,0,3,0,2,0,0,3,1,0,0,0,0,1,0,0,0
9,3,2018,2018,0,0,1,3,1,2,0,0,3,2,0,0,0,0,1,0,1,1
11,2,1993,1993,0,3,3,2,0,2,1,0,3,1,0,0,0,0,3,0,3,1
11,2,1995,1995,0,3,2,2,0,1,0,0,3,3,0,1,0,3,3,0,3,1
11,2,2017,2017,0,3,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1
11,2,2018,2018,0,3,1,3,0,3,0,0,3,0,0,0,0,0,0,0,3,1
12,2,1993,1993,0,2,2,2,0,3,0,0,3,3,0,1,0,1,3,1,2,3
12,2,1995,1995,0,2,0,2,0,3,0,0,3,3,0,0,0,3,3,0,2,2
12,2,2017,2017,0,2,0,2,0,3,0,0,2,2,0,0,0,0,1,0,1,2
12,2,2018,2018,0,2,1,3,1,3,0,0,3,1,0,0,0,0,0,0,2,2
34,3,1993,1993,0,3,1,3,0,0,0,0,3,0,0,0,0,0,3,0,1,0
34,3,1995,1995,0,3,1,3,0,0,0,0,3,0,0,0,0,0,3,0,1,0
34,3,2017,2017,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,2
34,3,2018,2018,0,2,1,3,0,2,0,0,2,0,0,0,0,0,1,0,2,2
41,2,1993,1993,0,2,2,3,0,0,0,0,0,0,2,0,0,0,1,0,1,2
41,2,1995,1995,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,2,3
41,2,2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2,2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,1993,1993,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3
43,2,1995,1995,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2
43,2,2017,2017,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
43,2,2018,2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44,2,1993,1993,0,3,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3
44,2,1995,1995,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,3
44,2,2017,2017,0,1,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,3
44,2,2018,2018,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,3
45,1,1993,1993,0,3,0,3,0,0,0,3,0,0,1,0,0,0,1,0,2,3
45,1,1995,1995,0,3,2,3,0,0,0,0,0,0,3,0,0,0,0,0,2,2
45,1,2017,2017,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2
45,1,2018,2018,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,2,3
46,1,1993,1993,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
46,1,1995,1995,0,3,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2
46,1,2017,2017,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3
46,1,2018,2018,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
76,1,1994,1993,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,3
76,1,1995,1995,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
76,1,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
76,1,2018,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3
77,1,1994,1993,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,3
77,1,1995,1995,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,3
77,1,2017,2017,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2
77,1,2018,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
78,2,1994,1993,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3
78,2,1995,1995,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
78,2,2017,2017,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3
78,2,2018,2018,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3
79,1,1994,1993,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,2,3
79,1,1995,1995,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3
79,1,2017,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3
79,1,2018,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3
81,2,1994,1993,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,3
81,2,1995,1995,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3
81,2,2017,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
81,2,2018,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
87,2,1994,1993,0,0,3,3,0,2,0,0,2,0,3,3,0,3,2,1,2,3
87,2,1995,1995,0,0,1,3,3,2,0,0,3,0,0,2,0,0,0,0,0,0
87,2,2017,2017,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,3,3
87,2,2018,2018,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,3,3
88,2,1994,1993,0,0,2,3,0,2,0,0,2,0,3,3,0,2,0,0,3,3
88,2,1995,1995,0,0,1,3,2,0,0,0,3,0,2,1,0,2,0,0,2,2
88,2,2017,2017,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,3,3
88,2,2018,2018,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3
89,2,1994,1993,0,0,2,3,2,0,0,0,3,0,3,3,0,3,0,0,0,3
89,2,1995,1995,0,0,0,0,2,0,0,0,3,0,3,3,0,3,0,0,2,3
89,2,2017,2017,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,2,3
89,2,2018,2018,0,0,0,3,2,0,0,0,1,0,3,0,0,0,0,0,2,3
90,1,1994,1993,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,2,2,3
90,1,1995,1995,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,2,3
90,1,2017,2017,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,3
90,1,2018,2018,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,3
91,1,1994,1993,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,3
91,1,1995,1995,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,2
91,1,2017,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
91,1,2018,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
92,1,1994,1993,0,3,2,3,0,0,0,0,0,0,2,0,0,0,0,2,0,3
92,1,1995,1995,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2
92,1,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
92,1,2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3
93,3,1994,1993,0,3,1,3,0,0,0,0,0,0,3,0,0,0,0,0,2,3
93,3,1995,1995,0,3,2,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3
93,3,2017,2017,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,3
93,3,2018,2018,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,3
94,1,1994,1993,0,3,1,2,0,0,0,0,0,0,3,0,0,0,0,2,2,3
94,1,1995,1995,0,3,2,3,0,0,0,0,0,0,3,0,0,0,0,3,0,2
94,1,2017,2017,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,2,3
94,1,2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3
95,2,1994,1993,0,3,2,3,0,2,0,0,3,0,1,0,0,0,3,0,2,3
95,2,1995,1995,0,3,1,3,0,2,0,0,2,0,1,0,0,0,0,0,1,3
95,2,2017,2017,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,1,0
95,2,2018,2018,0,0,0,3,0,2,0,0,3,2,0,0,0,0,2,0,1,3
96,2,1994,1993,0,2,3,3,3,0,0,0,3,0,3,0,0,2,2,1,3,3
96,2,1995,1995,0,2,2,2,0,0,0,0,0,0,3,0,0,0,0,2,2,3
96,2,2017,2017,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,3,3
96,2,2018,2018,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,2,3
100,2,1994,1993,0,2,2,3,0,3,0,0,3,2,0,0,0,0,2,0,3,2
100,2,1995,1995,0,1,0,3,0,3,0,0,3,2,0,0,0,0,3,0,2,1
100,2,2017,2017,0,1,0,3,0,2,0,0,1,0,0,0,0,1,0,0,2,0
100,2,2018,2018,0,1,1,3,0,2,0,0,3,0,0,0,0,0,2,0,3,1
101,3,1994,1993,0,2,0,3,0,2,0,0,3,3,0,0,0,0,3,0,2,0
101,3,1995,1995,0,0,0,3,0,1,0,0,3,2,0,0,0,0,0,0,2,0
101,3,2017,2017,0,3,0,1,0,1,0,0,2,1,0,0,0,0,1,0,0,1
101,3,2018,2018,0,3,0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,1
102,3,1994,1993,0,2,0,3,0,2,0,0,3,2,0,0,0,0,2,0,0,2
102,3,1995,1995,0,1,0,3,0,2,0,0,3,0,0,0,0,0,0,0,0,2
102,3,2017,2017,0,1,0,3,0,1,0,0,2,1,0,0,0,0,0,0,1,2
102,3,2018,2018,0,1,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,3
103,3,1994,1993,0,0,0,3,3,2,0,0,3,1,0,0,0,0,0,0,0,1
103,3,1995,1995,0,0,0,3,0,3,0,0,3,0,0,0,0,1,0,0,0,3
103,3,2017,2017,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,1
103,3,2018,2018,0,1,0,3,0,2,0,0,3,0,0,0,0,0,1,0,0,1
105,1,1994,1993,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,3
105,1,1995,1995,0,0,0,3,3,0,0,0,3,0,0,0,0,2,0,0,0,2
105,1,2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
105,1,2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
107,1,1994,1993,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,3
107,1,1995,1995,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,3
107,1,2017,2017,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2
107,1,2018,2018,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,3
112,1,1994,1993,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3
112,1,1995,1995,0,3,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3
112,1,2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3
112,1,2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3
113,1,1994,1993,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,3,3,3
113,1,1995,1995,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,3,3
113,1,2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3
113,1,2018,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3
114,1,1994,1993,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,2,3
114,1,1995,1995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,3
114,1,2017,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3
114,1,2018,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
119,3,1994,1993,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,2,0
119,3,1995,1995,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
119,3,2017,2017,0,1,0,2,0,3,0,0,3,2,0,0,0,0,1,0,0,1
119,3,2018,2018,0,3,0,2,0,1,0,0,3,1,0,0,0,0,2,0,0,1
121,2,1994,1993,0,1,0,3,0,2,0,0,3,3,0,0,0,0,0,0,2,2
121,2,1995,1995,0,0,0,3,0,2,0,0,3,2,0,0,0,0,0,0,2,1
121,2,2017,2017,0,0,0,2,0,2,0,0,1,1,0,0,0,0,1,0,0,0
121,2,2018,2018,0,2,0,3,0,1,0,0,3,2,1,0,0,0,2,0,0,0
123,3,1994,1993,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0
123,3,1995,1995,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0
123,3,2017,2017,0,0,0,1,0,1,0,0,2,3,0,0,2,0,0,0,0,0
123,3,2018,2018,0,0,0,1,0,1,0,0,2,3,0,0,2,0,0,0,0,0