Site Num,WA,Year,A.clathratum,A.fimbriatum,A.marginata,C.costata,E.menziesii,E.arborea,S.sessilis,L.ephemera,S nigripes,L.setchellii,L.littoralis,M.pyrifera,N.luetkeana,P.gardneri,P.californica,P.palmaeformis,S.latissima,,
2,3,1993,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,,
2,3,1995,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,,
2,3,2017,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,,
2,3,2018,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,,
3,4,1993,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,,
3,4,1995,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,,
3,4,2017,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,,
3,4,2018,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,
4,4,1993,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,,
4,4,1995,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,,
4,4,2017,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,,
4,4,2018,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,,
5,3,1993,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,,
5,3,1995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
5,3,2017,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,
5,3,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
6,2,1993,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,
6,2,1995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
6,2,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
6,2,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
7,3,1993,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,,
7,3,1995,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,
7,3,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
7,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,3,1993,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,,
8,3,1995,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,
8,3,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
8,3,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9,4,1993,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,,
9,4,1995,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
9,4,2017,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
9,4,2018,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,,
11,3,1993,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,,
11,3,1995,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,,
11,3,2017,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,,
11,3,2018,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,
12,3,1993,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,,
12,3,1995,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,,
12,3,2017,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
12,3,2018,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,
13,3,1993,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,,
13,3,2017,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
13,3,2018,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
14,3,1993,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,,
14,3,2017,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,
14,3,2018,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,
30,3,1993,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,,
30,3,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
30,3,2017,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,
32,2,1993,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,,
32,2,1995,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,,
32,2,2017,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
34,4,1993,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,,
34,4,1995,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,,
34,4,2017,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,
34,4,2018,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,
36,3,1993,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,,
36,3,1995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
36,3,2017,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,
36,3,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
41,3,1993,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,,
41,3,1995,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,
41,3,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
41,3,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
43,3,1993,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,
43,3,1995,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,
43,3,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
43,3,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
44,3,1993,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,
44,3,1995,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,
44,3,2017,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,,
44,3,2018,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
45,2,1993,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,,
45,2,1995,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
45,2,2017,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
45,2,2018,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,
46,2,1993,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
46,2,1995,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,
46,2,2017,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
46,2,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
76,2,1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
76,2,1995,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
76,2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
76,2,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
77,2,1993,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
77,2,1995,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
77,2,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
77,2,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
78,3,1993,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
78,3,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
78,3,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
78,3,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
79,2,1993,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
79,2,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
79,2,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
79,2,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
81,3,1993,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
81,3,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
81,3,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
81,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
87,3,1993,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,,
87,3,1995,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,,
87,3,2017,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,
87,3,2018,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,
88,3,1993,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,,
88,3,1995,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,,
88,3,2017,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,
88,3,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,
89,3,1993,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,,
89,3,1995,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,,
89,3,2017,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,
89,3,2018,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,,
90,2,1993,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
90,2,1995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
90,2,2017,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
90,2,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
91,2,1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
91,2,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
91,2,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
91,2,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,2,1993,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
92,2,1995,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
92,2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,2,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
93,4,1993,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
93,4,1995,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
93,4,2017,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,
93,4,2018,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
94,2,1993,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
94,2,1995,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
94,2,2017,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
94,2,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
95,3,1993,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,,
95,3,1995,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,,
95,3,2017,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,
95,3,2018,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
96,3,1993,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,,
96,3,1995,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
96,3,2017,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
96,3,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
100,3,1993,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,,
100,3,1995,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
100,3,2017,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,,
100,3,2018,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,
101,4,1993,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
101,4,1995,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
101,4,2017,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
101,4,2018,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
102,4,1993,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
102,4,1995,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,
102,4,2017,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
102,4,2018,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
103,4,1993,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,,
103,4,1995,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,,
103,4,2017,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,
103,4,2018,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,,
105,2,1993,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,
105,2,1995,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,,
105,2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
105,2,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
107,2,1993,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,
107,2,1995,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,
107,2,2017,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
107,2,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
112,2,1993,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
112,2,1995,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
112,2,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
112,2,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
113,2,1993,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
113,2,1995,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
113,2,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
113,2,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
114,2,1993,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
114,2,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
114,2,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
114,2,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
119,4,1993,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,,
119,4,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
119,4,2017,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
119,4,2018,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
121,3,1993,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
121,3,1995,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,,
121,3,2017,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,,
121,3,2018,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,,
123,4,1993,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,
123,4,1995,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,
123,4,2017,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,,
123,4,2018,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,,
155,3,1993,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,
155,3,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
155,3,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,